2205516|Juazeiro do Piauí
2205524|Julio Borges
2205532|Jurema
2205557|Lagoa Alegre
2205573|Lagoa de Sao Francisco
2205565|Lagoa do Barro do Piauí
2205581|Lagoa do Piauí
2205599|Lagoa do Sitio
2205540|Lagoinha do Piauí
2205607|Landri Sales
2205706|Luis Correia
2205805|Luzilandia
2205854|Madeiro
2205904|Manoel Emidio
2205953|Marcolandia
2206001|Marcos Parente
2206050|Massape do Piauí
2206100|Matias Olimpio
2206209|Miguel Alves
2206308|Miguel Leão
2206357|Milton Brandao
2206407|Monsenhor Gil
2206506|Monsenhor Hipólito
2206605|Monte Alegre do Piauí
2206654|Morro Cabeca No Tempo
2206670|Morro do Chapeu do Piauí
2206696|Murici dos Portelas
2206704|Nazaré do Piauí
2206753|Nossa Senhora de Nazare
2206803|Nossa Senhora dos Remédios
2207959|Nova Santa Rita
2206902|Novo Oriente do Piauí
2206951|Novo Santo Antonio
2207009|Oeiras
2207108|Olho D'Agua do Piauí
2207207|Padre Marcos
2207306|Paes Landim
2207355|Pajeu do Piauí
2207405|Palmeira do Piauí
2207504|Palmeirais
2207553|Paqueta
2207603|Parnagua
2207702|Parnaiba
2207751|Passagem Franca do Piauí
2207777|Patos do Piauí
2207793|"Pau&Nbsp;
          D'Arco do Piauí"
2207801|Paulistana
2207850|Pavussu
2207900|Pedro Ii
2207934|Pedro Laurentino
2208007|Picos
2208106|Pimenteiras
2208205|Pio Ix
2208304|Piracuruca
2208403|Piripiri
2208502|Porto
2208551|Porto Alegre do Piauí
2208601|Prata do Piauí
2208650|Queimada Nova
2208700|Redenção do Gurgueia
2208809|Regeneração
2208858|Riacho Frio
2208874|Ribeira do Piauí
2208908|Ribeiro Gonçalves
2209005|Rio Grande do Piauí
2209104|Santa Cruz do Piauí
2209153|Santa Cruz dos Milagres
2209203|Santa Filomena
2209302|Santa Luz
2209351|Santana do Piauí
2209377|Santa Rosa do Piauí
2209401|Santo Antonio de Lisboa
2209450|Santo Antonio dos Milagres
2209500|Santo Inácio do Piauí
2209559|Sao Braz do Piauí
2209609|São Felix do Piauí
2209658|São Francisco de Assis do Piauí
2209708|São Francisco do Piauí
2209757|São Goncalo do Gurgueia
2209807|São Goncalo do Piauí
2209856|São João da Canabrava
2209872|São João da Fronteira
2209906|São João da Serra
2209955|São João da Varjota
2209971|São João do Arraial
2210003|São João do Piauí
2210052|São José do Divino
2210102|São José do Peixe
2210201|São José do Piauí
2210300|São Julião
2210359|São Lourenco do Piauí
2210375|São Luis do Piauí
2210383|São Miguel da Baixa Grande
2210391|Sao Miguel do Fidalgo
2210409|São Miguel do Tapuio
2210508|São Pedro do Piauí
2210607|São Raimundo Nonato
2210623|Sebastião Barros
2210631|Sebastião Leal
2210656|Sigefredo Pacheco
2210706|Simões
2210805|Simplicio Mendes
2210904|Socorro do Piauí
2210938|Sussuapara
2210953|Tamboril do Piauí
2210979|Tanque do Piauí
2211001|Teresina
2211100|Uniaã
2211209|Urucui
2211308|Valença do Piauí
2211357|Varzea Branca
2211407|Varzea Grande
2211506|Vera Mendes
2211605|Vila Nova do Piauí
2211704|Wall Ferraz
